Beras Medium,Ikan Teri Asin,Bawang Putih Impor Honan,Bawang Putih Impor Kating,Minyak Goreng Bimoli Botol,Bawang Merah (Medium),Cabai Rawit Hijau,Minyak Goreng Curah,Cabai Rawit Merah,Cabai Merah Besar,Daging Sapi Lokal Paha Belakang,Cabai Merah Keriting,Indomie Rasa Kari Ayam,Kacang Kedelai Lokal,Daging Sapi Lokal Daging Has Luar (Sirloin),Gula Pasir,Kacang Kedelai Eks Impor,Daging Sapi Lokal Daging Sandung Lamur (Brisket),Garam Beryodium Halus,Garam Beryodium Bata,Daging Sapi Lokal Daging Tetelan,Jagung Pipilan Kecil,Susu Bubuk Kaleng Merk Indomilk,Susu Bubuk Kaleng Merk Bendera,Daging Sapi Impor Beku,Susu Kental Manis Kaleng Merk Indomilk,Susu Kental Manis Kaleng Merk Bendera,Daging Sapi Lokal Has Dalam,Telur Ayam Kampung,Telur Ayam Ras,Ayam Boiler,Tepung Terigu Segitiga Biru,Ikan Kembung,Ayam Kampung,Kacang Hijau,Ketela Pohon,Beras Premium,Kacang Tanah,,
10863,105000,25000,26400,13340,23700,46400,12550,46160,47500,120000,43000,2380,10767,118333,13940,12000,95000,10060,3580,71667,16100,42500,44333,89150,10060,11800,145833,2150,23050,36900,9860,37540,81100,21440,5000,13013,24340,2/1/2018,
10863,105000,25000,26400,13340,23700,46800,12550,46160,47500,119000,43000,2380,10767,118333,14140,12000,95000,10060,3580,75000,16100,42500,44333,89150,10060,11800,142500,2150,23050,36900,9860,37540,82767,21440,5000,13013,24340,2/2/2018,
10890,104340,25000,26200,13200,22560,44340,12550,46500,45500,120000,42060,2400,10767,120000,13860,11925,95000,9940,4000,75000,15900,42267,44233,90000,9960,11760,142500,2170,22550,36840,9740,39000,82767,21560,4860,13263,24400,2/5/2018,
11170,104160,25000,27000,13460,23560,42640,12500,44300,44840,119000,41860,2400,11233,118333,14200,12175,95000,9240,3620,76667,15767,42567,44100,88350,10140,11760,145000,2210,22640,36040,9960,38640,81100,22000,4940,13350,24600,2/6/2018,
11040,111000,26000,26700,13540,24600,41300,12675,45260,47000,119500,43000,2380,11000,117500,14140,12250,87667,12860,3900,67667,15900,42500,44333,89150,10340,11900,145000,2260,22500,37900,10060,39160,82300,22540,5000,13138,24640,2/7/2018,
11000,111000,27500,30060,13310,27800,42140,12250,46740,51340,121340,44660,2380,11233,120000,13640,13000,101667,11300,3680,73333,15900,41933,44000,89150,10060,12000,145000,2360,22800,35140,10350,37840,84175,22440,5160,13750,25600,2/8/2018,
11380,106340,25000,31540,13160,27200,39660,12050,46460,51340,120000,44300,2380,11233,120000,14000,11925,91667,9940,4420,63333,15767,42267,44233,75000,10060,11810,143333,2200,22340,35900,9940,40000,84433,22300,4940,13675,24300,2/9/2018,
11270,110000,27500,30700,13460,27740,41140,12450,46940,46400,121000,41360,2400,11567,123333,13950,13550,91667,10640,3620,60000,15767,42567,44100,88350,10140,12460,148333,2200,22760,37200,9760,39840,82500,22900,5140,13438,25100,2/12/2018,
11180,104660,27500,32140,13410,28540,41340,12363,48060,47000,119000,45600,2400,11233,120000,13640,12300,90000,10500,4260,77500,15900,42833,44567,89150,10140,12460,145000,2250,22500,36460,9500,40160,78325,23000,5000,13700,24940,2/13/2018,
11620,105660,27500,33940,13360,29240,42540,12425,52560,50000,120000,45300,2400,11233,120000,14140,11925,96667,10400,4360,65000,15900,42833,44567,89150,10140,12460,145833,2250,23400,37060,9800,39660,82075,22700,5700,13763,24140,2/14/2018,
11540,112000,27500,35740,13640,32260,45200,12550,51940,53200,120000,47700,2380,11333,118333,14140,12125,89333,10260,3740,76000,15900,42500,44333,89150,10140,12100,143333,2240,23340,37460,10100,39660,84433,23140,5200,13500,24900,2/15/2018,
11640,108000,30000,35240,13440,29360,41700,12363,53940,49700,120000,44700,2380,11333,121667,14140,12250,101667,11260,3680,66667,15900,42500,44333,89150,10140,12500,148333,2210,23440,38460,9800,39660,84433,23040,5600,13563,24400,2/19/2018,
10940,112000,27500,35240,13240,27560,36700,12363,56940,54700,120000,41700,2380,11000,121667,14140,12250,101667,11860,3780,70000,15900,42500,44333,109150,10140,12500,145000,2190,23040,34260,9800,39660,82767,23040,5600,13063,24400,2/20/2018,
10925,110410,27500,37500,13000,28540,39140,12300,57660,54000,121000,45500,2360,10900,121667,13740,11488,100000,10650,3865,70000,15900,42833,44567,107500,10140,12110,144167,2310,22900,34960,10080,39460,77075,21900,5050,13267,24840,2/21/2018,
12425,101960,32500,43300,13388,30640,39140,12300,59060,49000,120000,44000,2360,10900,120000,13740,12175,96667,10900,4260,71667,15900,42833,44567,87500,10140,12660,146667,2370,23100,35060,9940,39160,75825,22000,5100,13267,24140,2/22/2018,
11263,103500,35000,43860,13125,29900,40000,12450,59840,49000,119500,43040,2280,10433,118333,13700,11675,95833,9460,3860,63333,15767,41733,44100,83350,10140,12040,146667,2400,23000,34260,9860,37960,83667,21060,5300,13517,23660,2/23/2018,
11525,107160,37500,42400,13000,30640,41500,12550,58800,53760,118500,45460,2360,10900,117500,13640,12175,81667,13100,4060,56667,15900,42833,44567,75750,10140,12660,145500,2400,23000,33760,9940,40660,81450,21200,5200,13100,25140,2/26/2018,
11900,101460,35000,41700,13388,33340,41000,12425,58800,54260,120000,45860,2360,10900,123333,13740,12175,93333,10300,3960,73333,15900,42833,44567,73250,10140,12660,146667,2320,22900,34560,9940,39660,84433,22100,5000,12933,23440,2/27/2018,
11113,111000,40000,44200,10740,34740,42840,12425,59500,53540,121000,48500,2340,11000,120000,13340,13250,85000,11940,4300,63333,15900,42833,44567,90000,10200,12900,151667,2430,22960,33560,10200,38660,83950,21340,5200,9688,24900,2/28/2018,
11675,106000,32500,40600,13613,30740,43340,12550,58000,52040,120000,47500,2340,11000,118333,13840,12375,91000,11140,3980,79333,15900,42833,44567,90000,10200,12300,143333,2340,22860,37760,10100,40160,66160,22740,4600,13750,24200,3/1/2018,
11075,107000,35000,41600,13425,32240,39340,12175,57000,49540,123000,46000,2340,11000,121667,13940,12875,92667,11040,4080,72667,15900,41500,43233,90000,10200,12300,146667,2340,23360,35560,10300,38660,85825,22840,4900,13083,24400,3/2/2018,
10825,111600,35000,41500,13075,34900,37400,12325,58300,49660,119000,45500,2360,10767,116667,13450,13750,83333,11160,4000,53333,15567,42500,44333,90000,10240,12360,146667,2530,23160,36400,9900,38860,87767,22600,5160,12633,25000,3/5/2018,
