TANGGAL,KOMODITI,SATUAN,HARGA,BULAN,TAHUN
2018-01-02,Beras,Kg,11340.0,JANUARI,2018
2018-01-02,Gula Pasir,Kg,13740.0,JANUARI,2018
2018-01-02,Minyak Goreng Bimoli Botol,Liter,14040.0,JANUARI,2018
2018-01-02,Minyak Goreng Curah,Liter,12388.0,JANUARI,2018
2018-01-02,Daging Sapi Lokal Paha Belakang,Kg,117660.0,JANUARI,2018
2018-01-02,Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,118333.0,JANUARI,2018
2018-01-02,Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,89167.0,JANUARI,2018
2018-01-02,Daging Sapi Lokal Daging Tetelan,Kg,70833.0,JANUARI,2018
2018-01-02,Daging Sapi Impor Beku,Kg,120000.0,JANUARI,2018
2018-01-02,Daging Sapi Lokal Has Dalam,Kg,143333.0,JANUARI,2018
2018-01-02,Ayam Boiler,ekor,39740.0,JANUARI,2018
2018-01-02,Ayam Kampung,ekor,55075.0,JANUARI,2018
2018-01-02,Telur Ayam Ras,Kg,26150.0,JANUARI,2018
2018-01-02,Telur Ayam Kampung,butir,2100.0,JANUARI,2018
2018-01-02,Susu Kental Manis Kaleng Merk Bendera,buah,12340.0,JANUARI,2018
2018-01-02,Susu Kental Manis Kaleng Merk Indomilk,buah,10300.0,JANUARI,2018
2018-01-02,Susu Bubuk Kaleng Merk Bendera,buah,43667.0,JANUARI,2018
2018-01-02,Susu Bubuk Kaleng Merk Indomilk,buah,42000.0,JANUARI,2018
2018-01-02,Jagung Pipilan Kecil,Kg,16833.0,JANUARI,2018
2018-01-02,Garam Beryodium Bata,250 gr,3220.0,JANUARI,2018
2018-01-02,Garam Beryodium Halus,Kg,11260.0,JANUARI,2018
2018-01-02,Tepung Terigu Segitiga Biru,Kg,10160.0,JANUARI,2018
2018-01-02,Kacang Kedelai Eks Impor,Kg,12300.0,JANUARI,2018
2018-01-02,Kacang Kedelai Lokal,Kg,3333.0,JANUARI,2018
2018-01-02,Indomie Rasa Kari Ayam,buah,2740.0,JANUARI,2018
2018-01-02,Cabai Merah Keriting,Kg,37140.0,JANUARI,2018
2018-01-02,Cabai Merah Besar,Kg,37260.0,JANUARI,2018
2018-01-02,Cabai Rawit Merah,Kg,56240.0,JANUARI,2018
2018-01-02,Cabai Rawit Hijau,Kg,34800.0,JANUARI,2018
2018-01-02,Bawang Merah (Medium),Kg,26800.0,JANUARI,2018
2018-01-02,Bawang Putih Impor Kating,Kg,28560.0,JANUARI,2018
2018-01-02,Bawang Putih Impor Honan,Kg,25000.0,JANUARI,2018
2018-01-02,Ikan Teri Asin,Kg,109400.0,JANUARI,2018
2018-01-02,Ikan Kembung,Kg,36660.0,JANUARI,2018
2018-01-02,Kacang Hijau,Kg,22340.0,JANUARI,2018
2018-01-02,Kacang Tanah,Kg,25500.0,JANUARI,2018
2018-01-02,Ketela Pohon,Kg,5060.0,JANUARI,2018
2018-01-03,Beras,Kg,11440.0,JANUARI,2018
2018-01-03,Gula Pasir,Kg,13840.0,JANUARI,2018
2018-01-03,Minyak Goreng Bimoli Botol,Liter,14240.0,JANUARI,2018
2018-01-03,Minyak Goreng Curah,Liter,12450.0,JANUARI,2018
2018-01-03,Daging Sapi Lokal Paha Belakang,Kg,117660.0,JANUARI,2018
2018-01-03,Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,117500.0,JANUARI,2018
2018-01-03,Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,89167.0,JANUARI,2018
2018-01-03,Daging Sapi Lokal Daging Tetelan,Kg,75000.0,JANUARI,2018
2018-01-03,Daging Sapi Impor Beku,Kg,120000.0,JANUARI,2018
2018-01-03,Daging Sapi Lokal Has Dalam,Kg,141667.0,JANUARI,2018
2018-01-03,Ayam Boiler,ekor,38940.0,JANUARI,2018
2018-01-03,Ayam Kampung,ekor,55075.0,JANUARI,2018
2018-01-03,Telur Ayam Ras,Kg,26200.0,JANUARI,2018
2018-01-03,Telur Ayam Kampung,butir,2150.0,JANUARI,2018
2018-01-03,Susu Kental Manis Kaleng Merk Bendera,buah,12240.0,JANUARI,2018
2018-01-03,Susu Kental Manis Kaleng Merk Indomilk,buah,10400.0,JANUARI,2018
2018-01-03,Susu Bubuk Kaleng Merk Bendera,buah,43667.0,JANUARI,2018
2018-01-03,Susu Bubuk Kaleng Merk Indomilk,buah,42000.0,JANUARI,2018
2018-01-03,Jagung Pipilan Kecil,Kg,16833.0,JANUARI,2018
2018-01-03,Garam Beryodium Bata,250 gr,3320.0,JANUARI,2018
2018-01-03,Garam Beryodium Halus,Kg,10660.0,JANUARI,2018
2018-01-03,Tepung Terigu Segitiga Biru,Kg,10360.0,JANUARI,2018
2018-01-03,Kacang Kedelai Eks Impor,Kg,12300.0,JANUARI,2018
2018-01-03,Kacang Kedelai Lokal,Kg,3333.0,JANUARI,2018
2018-01-03,Indomie Rasa Kari Ayam,buah,2740.0,JANUARI,2018
2018-01-03,Cabai Merah Keriting,Kg,38640.0,JANUARI,2018
2018-01-03,Cabai Merah Besar,Kg,37260.0,JANUARI,2018
2018-01-03,Cabai Rawit Merah,Kg,58240.0,JANUARI,2018
2018-01-03,Cabai Rawit Hijau,Kg,35300.0,JANUARI,2018
2018-01-03,Bawang Merah (Medium),Kg,27800.0,JANUARI,2018
2018-01-03,Bawang Putih Impor Kating,Kg,30260.0,JANUARI,2018
2018-01-03,Bawang Putih Impor Honan,Kg,25000.0,JANUARI,2018
2018-01-03,Ikan Teri Asin,Kg,108400.0,JANUARI,2018
2018-01-03,Ikan Kembung,Kg,35660.0,JANUARI,2018
2018-01-03,Kacang Hijau,Kg,22540.0,JANUARI,2018
2018-01-03,Kacang Tanah,Kg,25700.0,JANUARI,2018
2018-01-03,Ketela Pohon,Kg,5060.0,JANUARI,2018
2018-01-04,Beras,Kg,11490.0,JANUARI,2018
2018-01-04,Gula Pasir,Kg,13390.0,JANUARI,2018
