TANGGAL,KOMODITI,SATUAN,HARGA
1/2/2018,Beras Medium,Kg,10.863
2/2/2018,Beras Medium,Kg,10.863
5/2/2018,Beras Medium,Kg,10.89
6/2/2018,Beras Medium,Kg,11.17
7/2/2018,Beras Medium,Kg,11.04
8/2/2018,Beras Medium,Kg,11
9/2/2018,Beras Medium,Kg,11.38
12/2/2018,Beras Medium,Kg,11.27
13/02/2018,Beras Medium,Kg,11.18
14/02/2018,Beras Medium,Kg,11.62
15/02/2018,Beras Medium,Kg,11.54
19/02/2018,Beras Medium,Kg,11.64
20/02/2018,Beras Medium,Kg,10.94
21/02/2018,Beras Medium,Kg,10.925
22/02/2018,Beras Medium,Kg,12.425
23/02/2018,Beras Medium,Kg,11.263
26/02/2018,Beras Medium,Kg,11.525
27/02/2018,Beras Medium,Kg,11.9
28/02/2018,Beras Medium,Kg,11.113
1/2/2018,Beras Premium,Kg,13.013
2/2/2018,Beras Premium,Kg,13.013
5/2/2018,Beras Premium,Kg,13.263
6/2/2018,Beras Premium,Kg,13.35
7/2/2018,Beras Premium,Kg,13.138
8/2/2018,Beras Premium,Kg,13.75
9/2/2018,Beras Premium,Kg,13.675
12/2/2018,Beras Premium,Kg,13.438
13/02/2018,Beras Premium,Kg,13.7
14/02/2018,Beras Premium,Kg,13.763
15/02/2018,Beras Premium,Kg,13.5
19/02/2018,Beras Premium,Kg,13.563
20/02/2018,Beras Premium,Kg,13.063
21/02/2018,Beras Premium,Kg,13.267
22/02/2018,Beras Premium,Kg,13.267
23/02/2018,Beras Premium,Kg,13.517
26/02/2018,Beras Premium,Kg,13.1
27/02/2018,Beras Premium,Kg,12.933
28/02/2018,Beras Premium,Kg,9.688
1/2/2018,Gula Pasir,Kg,13.94
2/2/2018,Gula Pasir,Kg,14.14
5/2/2018,Gula Pasir,Kg,13.86
6/2/2018,Gula Pasir,Kg,14.2
7/2/2018,Gula Pasir,Kg,14.14
8/2/2018,Gula Pasir,Kg,13.64
9/2/2018,Gula Pasir,Kg,14
12/2/2018,Gula Pasir,Kg,13.95
13/02/2018,Gula Pasir,Kg,13.64
14/02/2018,Gula Pasir,Kg,14.14
15/02/2018,Gula Pasir,Kg,14.14
19/02/2018,Gula Pasir,Kg,14.14
20/02/2018,Gula Pasir,Kg,14.14
21/02/2018,Gula Pasir,Kg,13.74
22/02/2018,Gula Pasir,Kg,13.74
23/02/2018,Gula Pasir,Kg,13.7
26/02/2018,Gula Pasir,Kg,13.64
27/02/2018,Gula Pasir,Kg,13.74
28/02/2018,Gula Pasir,Kg,13.34
1/2/2018,Minyak Goreng Bimoli Botol,Liter,13.34
2/2/2018,Minyak Goreng Bimoli Botol,Liter,13.34
5/2/2018,Minyak Goreng Bimoli Botol,Liter,13.2
6/2/2018,Minyak Goreng Bimoli Botol,Liter,13.46
7/2/2018,Minyak Goreng Bimoli Botol,Liter,13.54
8/2/2018,Minyak Goreng Bimoli Botol,Liter,13.31
9/2/2018,Minyak Goreng Bimoli Botol,Liter,13.16
12/2/2018,Minyak Goreng Bimoli Botol,Liter,13.46
13/02/2018,Minyak Goreng Bimoli Botol,Liter,13.41
14/02/2018,Minyak Goreng Bimoli Botol,Liter,13.36
15/02/2018,Minyak Goreng Bimoli Botol,Liter,13.64
19/02/2018,Minyak Goreng Bimoli Botol,Liter,13.44
20/02/2018,Minyak Goreng Bimoli Botol,Liter,13.24
