tanggal,komoditi,satuan,harga
7/2/2018,Beras Medium,Kg,10820
7/3/2018,Beras Medium,Kg,10980
7/4/2018,Beras Medium,Kg,10980
7/5/2018,Beras Medium,Kg,10720
7/6/2018,Beras Medium,Kg,10820
7/9/2018,Beras Medium,Kg,10900
7/10/2018,Beras Medium,Kg,10770
7/11/2018,Beras Medium,Kg,10720
7/12/2018,Beras Medium,Kg,10680
7/13/2018,Beras Medium,Kg,10580
7/16/2018,Beras Medium,Kg,10720
7/17/2018,Beras Medium,Kg,10980
7/18/2018,Beras Medium,Kg,10780
7/19/2018,Beras Medium,Kg,11380
7/20/2018,Beras Medium,Kg,10780
7/23/2018,Beras Medium,Kg,10780
7/24/2018,Beras Medium,Kg,10780
7/25/2018,Beras Medium,Kg,10780
7/26/2018,Beras Medium,Kg,10500
7/27/2018,Beras Medium,Kg,10450
7/30/2018,Beras Medium,Kg,10450
7/31/2018,Beras Medium,Kg,10500
7/2/2018,Beras Premium,Kg,13000
7/3/2018,Beras Premium,Kg,13000
7/4/2018,Beras Premium,Kg,13000
7/5/2018,Beras Premium,Kg,12750
7/6/2018,Beras Premium,Kg,12875
7/9/2018,Beras Premium,Kg,13000
7/10/2018,Beras Premium,Kg,12938
7/11/2018,Beras Premium,Kg,12750
7/12/2018,Beras Premium,Kg,12750
7/13/2018,Beras Premium,Kg,12625
7/16/2018,Beras Premium,Kg,12875
7/17/2018,Beras Premium,Kg,13000
7/18/2018,Beras Premium,Kg,13125
7/19/2018,Beras Premium,Kg,13125
7/20/2018,Beras Premium,Kg,13000
7/23/2018,Beras Premium,Kg,12875
7/24/2018,Beras Premium,Kg,12875
7/25/2018,Beras Premium,Kg,12875
7/26/2018,Beras Premium,Kg,12800
7/27/2018,Beras Premium,Kg,12550
7/30/2018,Beras Premium,Kg,12800
7/31/2018,Beras Premium,Kg,12550
7/2/2018,Gula Pasir,Kg,13010
7/3/2018,Gula Pasir,Kg,12860
7/4/2018,Gula Pasir,Kg,12710
7/5/2018,Gula Pasir,Kg,12810
7/6/2018,Gula Pasir,Kg,13060
7/9/2018,Gula Pasir,Kg,12935
7/10/2018,Gula Pasir,Kg,13010
7/11/2018,Gula Pasir,Kg,12810
7/12/2018,Gula Pasir,Kg,13060
7/13/2018,Gula Pasir,Kg,13010
7/16/2018,Gula Pasir,Kg,13310
7/17/2018,Gula Pasir,Kg,13260
7/18/2018,Gula Pasir,Kg,13210
7/19/2018,Gula Pasir,Kg,13260
7/20/2018,Gula Pasir,Kg,13460
7/23/2018,Gula Pasir,Kg,13360
7/24/2018,Gula Pasir,Kg,12960
7/25/2018,Gula Pasir,Kg,13260
7/26/2018,Gula Pasir,Kg,13300
7/27/2018,Gula Pasir,Kg,13100
7/30/2018,Gula Pasir,Kg,13300
7/31/2018,Gula Pasir,Kg,13100
7/2/2018,Minyak Goreng Bimoli Botol,Liter,13040
7/3/2018,Minyak Goreng Bimoli Botol,Liter,13840
7/4/2018,Minyak Goreng Bimoli Botol,Liter,13740
7/5/2018,Minyak Goreng Bimoli Botol,Liter,13440
7/6/2018,Minyak Goreng Bimoli Botol,Liter,13140
7/9/2018,Minyak Goreng Bimoli Botol,Liter,13440
7/10/2018,Minyak Goreng Bimoli Botol,Liter,12990
7/11/2018,Minyak Goreng Bimoli Botol,Liter,13290
7/12/2018,Minyak Goreng Bimoli Botol,Liter,13240
7/13/2018,Minyak Goreng Bimoli Botol,Liter,13340
7/16/2018,Minyak Goreng Bimoli Botol,Liter,13340
7/17/2018,Minyak Goreng Bimoli Botol,Liter,13340
7/18/2018,Minyak Goreng Bimoli Botol,Liter,13840
7/19/2018,Minyak Goreng Bimoli Botol,Liter,13240
7/20/2018,Minyak Goreng Bimoli Botol,Liter,13540
7/23/2018,Minyak Goreng Bimoli Botol,Liter,13540
7/24/2018,Minyak Goreng Bimoli Botol,Liter,13740
7/25/2018,Minyak Goreng Bimoli Botol,Liter,13540
7/26/2018,Minyak Goreng Bimoli Botol,Liter,13400
7/27/2018,Minyak Goreng Bimoli Botol,Liter,13400
7/30/2018,Minyak Goreng Bimoli Botol,Liter,13400
7/31/2018,Minyak Goreng Bimoli Botol,Liter,13600
7/2/2018,Minyak Goreng Curah,Liter,12500
7/3/2018,Minyak Goreng Curah,Liter,12600
7/4/2018,Minyak Goreng Curah,Liter,12500
7/5/2018,Minyak Goreng Curah,Liter,12500
7/6/2018,Minyak Goreng Curah,Liter,12450
7/9/2018,Minyak Goreng Curah,Liter,12550
7/10/2018,Minyak Goreng Curah,Liter,12400
7/11/2018,Minyak Goreng Curah,Liter,12400
7/12/2018,Minyak Goreng Curah,Liter,12300
7/13/2018,Minyak Goreng Curah,Liter,12350
7/16/2018,Minyak Goreng Curah,Liter,12400
7/17/2018,Minyak Goreng Curah,Liter,12500
7/18/2018,Minyak Goreng Curah,Liter,12500
7/19/2018,Minyak Goreng Curah,Liter,12300
7/20/2018,Minyak Goreng Curah,Liter,12450
7/23/2018,Minyak Goreng Curah,Liter,12500
7/24/2018,Minyak Goreng Curah,Liter,12500
7/25/2018,Minyak Goreng Curah,Liter,12300
7/26/2018,Minyak Goreng Curah,Liter,12290
7/27/2018,Minyak Goreng Curah,Liter,12340
7/30/2018,Minyak Goreng Curah,Liter,12340
7/31/2018,Minyak Goreng Curah,Liter,12290
7/2/2018,Daging Sapi Lokal Paha Belakang,Kg,119660
7/3/2018,Daging Sapi Lokal Paha Belakang,Kg,121660
7/4/2018,Daging Sapi Lokal Paha Belakang,Kg,121660
7/5/2018,Daging Sapi Lokal Paha Belakang,Kg,118660
7/6/2018,Daging Sapi Lokal Paha Belakang,Kg,119660
7/9/2018,Daging Sapi Lokal Paha Belakang,Kg,120660
7/10/2018,Daging Sapi Lokal Paha Belakang,Kg,119660
7/11/2018,Daging Sapi Lokal Paha Belakang,Kg,119660
7/12/2018,Daging Sapi Lokal Paha Belakang,Kg,120660
7/13/2018,Daging Sapi Lokal Paha Belakang,Kg,119660
7/16/2018,Daging Sapi Lokal Paha Belakang,Kg,119660
7/17/2018,Daging Sapi Lokal Paha Belakang,Kg,121660
7/18/2018,Daging Sapi Lokal Paha Belakang,Kg,119660
7/19/2018,Daging Sapi Lokal Paha Belakang,Kg,119660
7/20/2018,Daging Sapi Lokal Paha Belakang,Kg,117660
7/23/2018,Daging Sapi Lokal Paha Belakang,Kg,117660
7/24/2018,Daging Sapi Lokal Paha Belakang,Kg,117660
7/25/2018,Daging Sapi Lokal Paha Belakang,Kg,117660
7/26/2018,Daging Sapi Lokal Paha Belakang,Kg,117340
7/27/2018,Daging Sapi Lokal Paha Belakang,Kg,117340
7/30/2018,Daging Sapi Lokal Paha Belakang,Kg,117340
7/31/2018,Daging Sapi Lokal Paha Belakang,Kg,117340
7/2/2018,Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,126667
7/3/2018,Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,130000
7/4/2018,Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,130000
7/5/2018,Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,126667
7/6/2018,Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,126667
7/9/2018,Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,128333
7/10/2018,Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,126667
7/11/2018,Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,126667
