TANGGAL,KOMODITI,SATUAN,HARGA
43196,Beras Medium,Kg,10780
43226,Beras Medium,Kg,10820
43257,Beras Medium,Kg,10970
43287,Beras Medium,Kg,10920
43318,Beras Medium,Kg,11030
21/06/2018,Beras Medium,Kg,10920
22/06/2018,Beras Medium,Kg,11080
25/06/2018,Beras Medium,Kg,10720
26/06/2018,Beras Medium,Kg,10820
28/06/2018,Beras Medium,Kg,10920
29/06/2018,Beras Medium,Kg,10770
43196,Beras Premium,Kg,12750
43226,Beras Premium,Kg,12750
43257,Beras Premium,Kg,12875
43287,Beras Premium,Kg,13125
43318,Beras Premium,Kg,12625
21/06/2018,Beras Premium,Kg,13000
22/06/2018,Beras Premium,Kg,13125
25/06/2018,Beras Premium,Kg,12875
26/06/2018,Beras Premium,Kg,13000
28/06/2018,Beras Premium,Kg,13063
29/06/2018,Beras Premium,Kg,12875
43196,Gula Pasir,Kg,13010
43226,Gula Pasir,Kg,12810
43257,Gula Pasir,Kg,13210
43287,Gula Pasir,Kg,12710
43318,Gula Pasir,Kg,12910
21/06/2018,Gula Pasir,Kg,12960
22/06/2018,Gula Pasir,Kg,13360
25/06/2018,Gula Pasir,Kg,13160
26/06/2018,Gula Pasir,Kg,13160
28/06/2018,Gula Pasir,Kg,12960
29/06/2018,Gula Pasir,Kg,13260
43196,Minyak Goreng Bimoli Botol,Liter,13290
43226,Minyak Goreng Bimoli Botol,Liter,13690
43257,Minyak Goreng Bimoli Botol,Liter,13490
43287,Minyak Goreng Bimoli Botol,Liter,13340
43318,Minyak Goreng Bimoli Botol,Liter,13440
21/06/2018,Minyak Goreng Bimoli Botol,Liter,13490
22/06/2018,Minyak Goreng Bimoli Botol,Liter,13240
25/06/2018,Minyak Goreng Bimoli Botol,Liter,13440
26/06/2018,Minyak Goreng Bimoli Botol,Liter,13540
28/06/2018,Minyak Goreng Bimoli Botol,Liter,13440
29/06/2018,Minyak Goreng Bimoli Botol,Liter,13440
43196,Minyak Goreng Curah,Liter,12350
43226,Minyak Goreng Curah,Liter,12400
43257,Minyak Goreng Curah,Liter,12400
43287,Minyak Goreng Curah,Liter,12300
43318,Minyak Goreng Curah,Liter,12300
21/06/2018,Minyak Goreng Curah,Liter,12500
22/06/2018,Minyak Goreng Curah,Liter,12440
25/06/2018,Minyak Goreng Curah,Liter,12300
26/06/2018,Minyak Goreng Curah,Liter,12400
28/06/2018,Minyak Goreng Curah,Liter,12500
29/06/2018,Minyak Goreng Curah,Liter,12300
43196,Daging Sapi  Lokal  Paha Belakang,Kg,119660
43226,Daging Sapi  Lokal  Paha Belakang,Kg,120660
43257,Daging Sapi  Lokal  Paha Belakang,Kg,121660
43287,Daging Sapi  Lokal  Paha Belakang,Kg,119660
43318,Daging Sapi  Lokal  Paha Belakang,Kg,120660
21/06/2018,Daging Sapi  Lokal  Paha Belakang,Kg,121660
22/06/2018,Daging Sapi  Lokal  Paha Belakang,Kg,121660
25/06/2018,Daging Sapi  Lokal  Paha Belakang,Kg,119660
26/06/2018,Daging Sapi  Lokal  Paha Belakang,Kg,119660
28/06/2018,Daging Sapi  Lokal  Paha Belakang,Kg,122660
29/06/2018,Daging Sapi  Lokal  Paha Belakang,Kg,120160
43196,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,120000
43226,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,123333
43257,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,123333
43287,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,130000
43318,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,130000
21/06/2018,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,130000
22/06/2018,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,130000
25/06/2018,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,126667
26/06/2018,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,126667
28/06/2018,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,131667
29/06/2018,Daging Sapi  Lokal  Daging  Has Luar (Sirloin),Kg,127500
43196,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,81667
43226,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,101667
43257,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,100000
43287,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,93333
43318,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,103333
21/06/2018,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,96667
22/06/2018,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,103333
25/06/2018,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,96667
26/06/2018,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,100000
28/06/2018,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,93333
29/06/2018,Daging Sapi  Lokal  Daging  Sandung Lamur (Brisket),Kg,100000
43196,Daging Sapi  Lokal  Daging  Tetelan,Kg,75000
43226,Daging Sapi  Lokal  Daging  Tetelan,Kg,77500
43257,Daging Sapi  Lokal  Daging  Tetelan,Kg,73333
43287,Daging Sapi  Lokal  Daging  Tetelan,Kg,80000
43318,Daging Sapi  Lokal  Daging  Tetelan,Kg,71667
21/06/2018,Daging Sapi  Lokal  Daging  Tetelan,Kg,83333
22/06/2018,Daging Sapi  Lokal  Daging  Tetelan,Kg,78333
