TANGGAL,KOMODITI,SATUAN,HARGA
43136,Beras Medium,Kg,10990
43164,Beras Medium,Kg,11250
43195,Beras Medium,Kg,11300
43286,Beras Medium,Kg,11040
43317,Beras Medium,Kg,11040
43348,Beras Medium,Kg,10940
43409,Beras Medium,Kg,10780
14/05/2018,Beras Medium,Kg,10480
15/05/2018,Beras Medium,Kg,10380
16/05/2018,Beras Medium,Kg,10720
17/05/2018,Beras Medium,Kg,11130
18/05/2018,Beras Medium,Kg,10690
21/05/2018,Beras Medium,Kg,10550
22/05/2018,Beras Medium,Kg,10600
23/05/2018,Beras Medium,Kg,10740
24/05/2018,Beras Medium,Kg,10520
25/05/2018,Beras Medium,Kg,10660
28/05/2018,Beras Medium,Kg,10660
30/05/2018,Beras Medium,Kg,10620
31/05/2018,Beras Medium,Kg,10880
43136,Beras Premium,Kg,12938
43164,Beras Premium,Kg,12750
43195,Beras Premium,Kg,12625
43286,Beras Premium,Kg,13250
43317,Beras Premium,Kg,13000
43348,Beras Premium,Kg,13000
43409,Beras Premium,Kg,13000
14/05/2018,Beras Premium,Kg,12575
15/05/2018,Beras Premium,Kg,12450
16/05/2018,Beras Premium,Kg,12825
17/05/2018,Beras Premium,Kg,12775
18/05/2018,Beras Premium,Kg,11938
21/05/2018,Beras Premium,Kg,12250
22/05/2018,Beras Premium,Kg,11875
23/05/2018,Beras Premium,Kg,12500
24/05/2018,Beras Premium,Kg,12475
25/05/2018,Beras Premium,Kg,12850
28/05/2018,Beras Premium,Kg,12725
30/05/2018,Beras Premium,Kg,12475
31/05/2018,Beras Premium,Kg,12813
43136,Gula Pasir,Kg,13010
43164,Gula Pasir,Kg,12860
43195,Gula Pasir,Kg,12860
43286,Gula Pasir,Kg,13060
43317,Gula Pasir,Kg,12960
43348,Gula Pasir,Kg,12910
43409,Gula Pasir,Kg,13260
14/05/2018,Gula Pasir,Kg,12760
15/05/2018,Gula Pasir,Kg,12760
16/05/2018,Gula Pasir,Kg,13010
17/05/2018,Gula Pasir,Kg,12710
18/05/2018,Gula Pasir,Kg,12900
21/05/2018,Gula Pasir,Kg,12660
22/05/2018,Gula Pasir,Kg,12710
23/05/2018,Gula Pasir,Kg,13160
24/05/2018,Gula Pasir,Kg,12810
25/05/2018,Gula Pasir,Kg,13060
28/05/2018,Gula Pasir,Kg,13010
30/05/2018,Gula Pasir,Kg,12860
31/05/2018,Gula Pasir,Kg,12960
43136,Minyak Goreng Bimoli Botol,Liter,13290
43164,Minyak Goreng Bimoli Botol,Liter,13240
43195,Minyak Goreng Bimoli Botol,Liter,13440
43286,Minyak Goreng Bimoli Botol,Liter,13240
43317,Minyak Goreng Bimoli Botol,Liter,13740
43348,Minyak Goreng Bimoli Botol,Liter,13540
43409,Minyak Goreng Bimoli Botol,Liter,13540
14/05/2018,Minyak Goreng Bimoli Botol,Liter,13060
15/05/2018,Minyak Goreng Bimoli Botol,Liter,13260
16/05/2018,Minyak Goreng Bimoli Botol,Liter,13460
17/05/2018,Minyak Goreng Bimoli Botol,Liter,13210
18/05/2018,Minyak Goreng Bimoli Botol,Liter,13490
