Beras Medium,Ikan Teri Asin,Bawang Putih Impor Honan,Bawang Putih Impor Kating,Minyak Goreng Bimoli Botol,Bawang Merah (Medium),Cabai Rawit Hijau,Minyak Goreng Curah,Cabai Rawit Merah,Cabai Merah Besar,Daging Sapi Lokal Paha Belakang,Cabai Merah Keriting,Indomie Rasa Kari Ayam,Kacang Kedelai Lokal,Daging Sapi Lokal Daging Has Luar (Sirloin),Gula Pasir,Kacang Kedelai Eks Impor,Daging Sapi Lokal Daging Sandung Lamur (Brisket),Garam Beryodium Halus,Garam Beryodium Bata,Daging Sapi Lokal Daging Tetelan,Jagung Pipilan Kecil,Susu Bubuk Kaleng Merk Indomilk,Susu Bubuk Kaleng Merk Bendera,Daging Sapi Impor Beku,Susu Kental Manis Kaleng Merk Indomilk,Susu Kental Manis Kaleng Merk Bendera,Daging Sapi Lokal Has Dalam,Telur Ayam Kampung,Telur Ayam Ras,Ayam Boiler,Tepung Terigu Segitiga Biru,Ikan Kembung,Ayam Kampung,Kacang Hijau,Ketela Pohon,Beras Premium,Kacang Tanah
10863.0,105000.0,25000.0,26400.0,13340.0,23700.0,46400.0,12550.0,46160.0,47500.0,120000.0,43000.0,2380.0,10767.0,118333.0,13940.0,12000.0,95000.0,10060.0,3580.0,71667.0,16100.0,42500.0,44333.0,89150.0,10060.0,11800.0,145833.0,2150.0,23050.0,36900.0,9860.0,37540.0,81100.0,21440.0,5000.0,13013.0,24340.0
10863.0,105000.0,25000.0,26400.0,13340.0,23700.0,46800.0,12550.0,46160.0,47500.0,119000.0,43000.0,2380.0,10767.0,118333.0,14140.0,12000.0,95000.0,10060.0,3580.0,75000.0,16100.0,42500.0,44333.0,89150.0,10060.0,11800.0,142500.0,2150.0,23050.0,36900.0,9860.0,37540.0,82767.0,21440.0,5000.0,13013.0,24340.0
10890.0,104340.0,25000.0,26200.0,13200.0,22560.0,44340.0,12550.0,46500.0,45500.0,120000.0,42060.0,2400.0,10767.0,120000.0,13860.0,11925.0,95000.0,9940.0,4000.0,75000.0,15900.0,42267.0,44233.0,90000.0,9960.0,11760.0,142500.0,2170.0,22550.0,36840.0,9740.0,39000.0,82767.0,21560.0,4860.0,13263.0,24400.0
11170.0,104160.0,25000.0,27000.0,13460.0,23560.0,42640.0,12500.0,44300.0,44840.0,119000.0,41860.0,2400.0,11233.0,118333.0,14200.0,12175.0,95000.0,9240.0,3620.0,76667.0,15767.0,42567.0,44100.0,88350.0,10140.0,11760.0,145000.0,2210.0,22640.0,36040.0,9960.0,38640.0,81100.0,22000.0,4940.0,13350.0,24600.0
11040.0,111000.0,26000.0,26700.0,13540.0,24600.0,41300.0,12675.0,45260.0,47000.0,119500.0,43000.0,2380.0,11000.0,117500.0,14140.0,12250.0,87667.0,12860.0,3900.0,67667.0,15900.0,42500.0,44333.0,89150.0,10340.0,11900.0,145000.0,2260.0,22500.0,37900.0,10060.0,39160.0,82300.0,22540.0,5000.0,13138.0,24640.0
11000.0,111000.0,27500.0,30060.0,13310.0,27800.0,42140.0,12250.0,46740.0,51340.0,121340.0,44660.0,2380.0,11233.0,120000.0,13640.0,13000.0,101667.0,11300.0,3680.0,73333.0,15900.0,41933.0,44000.0,89150.0,10060.0,12000.0,145000.0,2360.0,22800.0,35140.0,10350.0,37840.0,84175.0,22440.0,5160.0,13750.0,25600.0
11380.0,106340.0,25000.0,31540.0,13160.0,27200.0,39660.0,12050.0,46460.0,51340.0,120000.0,44300.0,2380.0,11233.0,120000.0,14000.0,11925.0,91667.0,9940.0,4420.0,63333.0,15767.0,42267.0,44233.0,75000.0,10060.0,11810.0,143333.0,2200.0,22340.0,35900.0,9940.0,40000.0,84433.0,22300.0,4940.0,13675.0,24300.0
11270.0,110000.0,27500.0,30700.0,13460.0,27740.0,41140.0,12450.0,46940.0,46400.0,121000.0,41360.0,2400.0,11567.0,123333.0,13950.0,13550.0,91667.0,10640.0,3620.0,60000.0,15767.0,42567.0,44100.0,88350.0,10140.0,12460.0,148333.0,2200.0,22760.0,37200.0,9760.0,39840.0,82500.0,22900.0,5140.0,13438.0,25100.0
11180.0,104660.0,27500.0,32140.0,13410.0,28540.0,41340.0,12363.0,48060.0,47000.0,119000.0,45600.0,2400.0,11233.0,120000.0,13640.0,12300.0,90000.0,10500.0,4260.0,77500.0,15900.0,42833.0,44567.0,89150.0,10140.0,12460.0,145000.0,2250.0,22500.0,36460.0,9500.0,40160.0,78325.0,23000.0,5000.0,13700.0,24940.0
11620.0,105660.0,27500.0,33940.0,13360.0,29240.0,42540.0,12425.0,52560.0,50000.0,120000.0,45300.0,2400.0,11233.0,120000.0,14140.0,11925.0,96667.0,10400.0,4360.0,65000.0,15900.0,42833.0,44567.0,89150.0,10140.0,12460.0,145833.0,2250.0,23400.0,37060.0,9800.0,39660.0,82075.0,22700.0,5700.0,13763.0,24140.0
