tanggal,komoditi,satuan,harga
8/1/2018,Beras Medium,Kg,10800
8/2/2018,Beras Medium,Kg,10900
8/3/2018,Beras Medium,Kg,10550
8/6/2018,Beras Medium,Kg,10600
8/7/2018,Beras Medium,Kg,10600
8/8/2018,Beras Medium,Kg,10840
8/9/2018,Beras Medium,Kg,10840
8/10/2018,Beras Medium,Kg,10890
8/13/2018,Beras Medium,Kg,10890
8/14/2018,Beras Medium,Kg,10990
8/15/2018,Beras Medium,Kg,10550
8/16/2018,Beras Medium,Kg,10540
8/20/2018,Beras Medium,Kg,10675
8/21/2018,Beras Medium,Kg,10640
8/22/2018,Beras Medium,Kg,10590
8/23/2018,Beras Medium,Kg,10640
8/27/2018,Beras Medium,Kg,10540
8/28/2018,Beras Medium,Kg,10540
8/29/2018,Beras Medium,Kg,10840
8/30/2018,Beras Medium,Kg,10840
8/31/2018,Beras Medium,Kg,10640
8/1/2018,Beras Premium,Kg,12550
8/2/2018,Beras Premium,Kg,12675
8/3/2018,Beras Premium,Kg,12550
8/6/2018,Beras Premium,Kg,12675
8/7/2018,Beras Premium,Kg,12925
8/8/2018,Beras Premium,Kg,12575
8/9/2018,Beras Premium,Kg,12575
8/10/2018,Beras Premium,Kg,12575
8/13/2018,Beras Premium,Kg,12638
8/14/2018,Beras Premium,Kg,12638
8/15/2018,Beras Premium,Kg,12700
8/16/2018,Beras Premium,Kg,12267
8/20/2018,Beras Premium,Kg,12825
8/21/2018,Beras Premium,Kg,12700
8/22/2018,Beras Premium,Kg,12825
8/23/2018,Beras Premium,Kg,12700
8/27/2018,Beras Premium,Kg,12825
8/28/2018,Beras Premium,Kg,12575
8/29/2018,Beras Premium,Kg,12575
8/30/2018,Beras Premium,Kg,12825
8/31/2018,Beras Premium,Kg,12800
8/1/2018,Gula Pasir,Kg,13300
8/2/2018,Gula Pasir,Kg,13100
8/3/2018,Gula Pasir,Kg,12900
8/6/2018,Gula Pasir,Kg,12950
8/7/2018,Gula Pasir,Kg,12950
8/8/2018,Gula Pasir,Kg,12810
8/9/2018,Gula Pasir,Kg,12610
8/10/2018,Gula Pasir,Kg,12560
8/13/2018,Gula Pasir,Kg,12610
8/14/2018,Gula Pasir,Kg,13010
8/15/2018,Gula Pasir,Kg,12960
8/16/2018,Gula Pasir,Kg,13010
8/20/2018,Gula Pasir,Kg,12700
8/21/2018,Gula Pasir,Kg,12860
8/22/2018,Gula Pasir,Kg,12810
8/23/2018,Gula Pasir,Kg,12960
8/27/2018,Gula Pasir,Kg,12810
8/28/2018,Gula Pasir,Kg,12860
8/29/2018,Gula Pasir,Kg,12560
8/30/2018,Gula Pasir,Kg,12560
8/31/2018,Gula Pasir,Kg,12910
8/1/2018,Minyak Goreng Bimoli Botol,Liter,13600
