tanggal,komoditi,satuan,harga
4/2/2018,Beras Medium,Kg,11240
4/3/2018,Beras Medium,Kg,11680
4/4/2018,Beras Medium,Kg,10940
4/5/2018,Beras Medium,Kg,11480
4/6/2018,Beras Medium,Kg,11780
4/9/2018,Beras Medium,Kg,11580
4/10/2018,Beras Medium,Kg,10880
4/11/2018,Beras Medium,Kg,11480
4/12/2018,Beras Medium,Kg,11680
4/13/2018,Beras Medium,Kg,11290
4/16/2018,Beras Medium,Kg,11190
4/17/2018,Beras Medium,Kg,11100
4/18/2018,Beras Medium,Kg,11110
4/19/2018,Beras Medium,Kg,10840
4/20/2018,Beras Medium,Kg,10740
4/23/2018,Beras Medium,Kg,10940
4/24/2018,Beras Medium,Kg,10780
4/25/2018,Beras Medium,Kg,10890
4/26/2018,Beras Medium,Kg,10730
4/27/2018,Beras Medium,Kg,10850
4/30/2018,Beras Medium,Kg,10990
4/2/2018,Beras Premium,Kg,13200
4/3/2018,Beras Premium,Kg,12863
4/4/2018,Beras Premium,Kg,12638
4/5/2018,Beras Premium,Kg,12050
4/6/2018,Beras Premium,Kg,12175
4/9/2018,Beras Premium,Kg,12300
4/10/2018,Beras Premium,Kg,12675
4/11/2018,Beras Premium,Kg,13375
4/12/2018,Beras Premium,Kg,13500
4/13/2018,Beras Premium,Kg,12313
4/16/2018,Beras Premium,Kg,12825
4/17/2018,Beras Premium,Kg,12625
4/18/2018,Beras Premium,Kg,12813
4/19/2018,Beras Premium,Kg,12563
4/20/2018,Beras Premium,Kg,12500
4/23/2018,Beras Premium,Kg,13000
4/24/2018,Beras Premium,Kg,12525
4/25/2018,Beras Premium,Kg,12525
4/26/2018,Beras Premium,Kg,12363
4/27/2018,Beras Premium,Kg,12688
4/30/2018,Beras Premium,Kg,13188
4/2/2018,Gula Pasir,Kg,13190
4/3/2018,Gula Pasir,Kg,13500
4/4/2018,Gula Pasir,Kg,13140
4/5/2018,Gula Pasir,Kg,13400
4/6/2018,Gula Pasir,Kg,12860
4/9/2018,Gula Pasir,Kg,12760
4/10/2018,Gula Pasir,Kg,12710
4/11/2018,Gula Pasir,Kg,12910
4/12/2018,Gula Pasir,Kg,12710
4/13/2018,Gula Pasir,Kg,12860
4/16/2018,Gula Pasir,Kg,12940
4/17/2018,Gula Pasir,Kg,12760
4/18/2018,Gula Pasir,Kg,12660
4/19/2018,Gula Pasir,Kg,12960
4/20/2018,Gula Pasir,Kg,12710
4/23/2018,Gula Pasir,Kg,13010
4/24/2018,Gula Pasir,Kg,12800
4/25/2018,Gula Pasir,Kg,12850
4/26/2018,Gula Pasir,Kg,12960
4/27/2018,Gula Pasir,Kg,12710
4/30/2018,Gula Pasir,Kg,12960
4/2/2018,Minyak Goreng Bimoli Botol,Liter,13613
4/3/2018,Minyak Goreng Bimoli Botol,Liter,13325
4/4/2018,Minyak Goreng Bimoli Botol,Liter,13050
4/5/2018,Minyak Goreng Bimoli Botol,Liter,13075
4/6/2018,Minyak Goreng Bimoli Botol,Liter,13060
4/9/2018,Minyak Goreng Bimoli Botol,Liter,13060
4/10/2018,Minyak Goreng Bimoli Botol,Liter,13010
4/11/2018,Minyak Goreng Bimoli Botol,Liter,13340
4/12/2018,Minyak Goreng Bimoli Botol,Liter,13240
4/13/2018,Minyak Goreng Bimoli Botol,Liter,13240
4/16/2018,Minyak Goreng Bimoli Botol,Liter,13090
4/17/2018,Minyak Goreng Bimoli Botol,Liter,13240
4/18/2018,Minyak Goreng Bimoli Botol,Liter,13040
4/19/2018,Minyak Goreng Bimoli Botol,Liter,13540
4/20/2018,Minyak Goreng Bimoli Botol,Liter,13340
4/23/2018,Minyak Goreng Bimoli Botol,Liter,13190
4/24/2018,Minyak Goreng Bimoli Botol,Liter,12940
4/25/2018,Minyak Goreng Bimoli Botol,Liter,13140
4/26/2018,Minyak Goreng Bimoli Botol,Liter,13360
4/27/2018,Minyak Goreng Bimoli Botol,Liter,13240
4/30/2018,Minyak Goreng Bimoli Botol,Liter,13290
4/2/2018,Minyak Goreng Curah,Liter,12840
4/3/2018,Minyak Goreng Curah,Liter,12540
