TANGGAL,KOMODITI,SATUAN,HARGA
3/12/2018,Beras Medium,Kg,10790
4/12/2018,Beras Medium,Kg,10590
5/12/2018,Beras Medium,Kg,10500
6/12/2018,Beras Medium,Kg,10450
7/12/2018,Beras Medium,Kg,10500
10/12/2018,Beras Medium,Kg,10500
11/12/2018,Beras Medium,Kg,10350
12/12/2018,Beras Medium,Kg,10590
13/12/2018,Beras Medium,Kg,10540
14/12/2018,Beras Medium,Kg,10590
17/12/2018,Beras Medium,Kg,10550
18/12/2018,Beras Medium,Kg,13262.5
19/12/2018,Beras Medium,Kg,13387.5
20/12/2018,Beras Medium,Kg,13250
21/12/2018,Beras Medium,Kg,13187.5
26/12/2018,Beras Medium,Kg,13187.5
27/12/2018,Beras Medium,Kg,13250
28/12/2018,Beras Medium,Kg,13375
31/12/2018,Beras Medium,Kg,13375
3/12/2018,Beras Premium,Kg,13137.5
4/12/2018,Beras Premium,Kg,13012.5
5/12/2018,Beras Premium,Kg,13125
6/12/2018,Beras Premium,Kg,13062.5
7/12/2018,Beras Premium,Kg,12625
10/12/2018,Beras Premium,Kg,12625
11/12/2018,Beras Premium,Kg,12250
12/12/2018,Beras Premium,Kg,12375
13/12/2018,Beras Premium,Kg,12375
14/12/2018,Beras Premium,Kg,12375
17/12/2018,Beras Premium,Kg,12437.5
18/12/2018,Beras Premium,Kg,12437.5
19/12/2018,Beras Premium,Kg,12500
20/12/2018,Beras Premium,Kg,12500
21/12/2018,Beras Premium,Kg,12437.5
26/12/2018,Beras Premium,Kg,12375
27/12/2018,Beras Premium,Kg,12700
28/12/2018,Beras Premium,Kg,12825
31/12/2018,Beras Premium,Kg,12825
3/12/2018,Gula Pasir,Kg,12900
4/12/2018,Gula Pasir,Kg,12600
5/12/2018,Gula Pasir,Kg,12810
6/12/2018,Gula Pasir,Kg,12860
7/12/2018,Gula Pasir,Kg,12760
10/12/2018,Gula Pasir,Kg,12760
11/12/2018,Gula Pasir,Kg,12460
12/12/2018,Gula Pasir,Kg,12490
13/12/2018,Gula Pasir,Kg,12540
14/12/2018,Gula Pasir,Kg,12890
17/12/2018,Gula Pasir,Kg,12910
18/12/2018,Gula Pasir,Kg,12510
19/12/2018,Gula Pasir,Kg,12460
20/12/2018,Gula Pasir,Kg,12360
21/12/2018,Gula Pasir,Kg,12360
26/12/2018,Gula Pasir,Kg,12560
27/12/2018,Gula Pasir,Kg,13060
28/12/2018,Gula Pasir,Kg,12910
31/12/2018,Gula Pasir,Kg,12910
3/12/2018,Minyak Goreng Bimoli Botol,Liter,13640
4/12/2018,Minyak Goreng Bimoli Botol,Liter,13340
5/12/2018,Minyak Goreng Bimoli Botol,Liter,13300
6/12/2018,Minyak Goreng Bimoli Botol,Liter,13300
7/12/2018,Minyak Goreng Bimoli Botol,Liter,13400
10/12/2018,Minyak Goreng Bimoli Botol,Liter,13400
11/12/2018,Minyak Goreng Bimoli Botol,Liter,13500
12/12/2018,Minyak Goreng Bimoli Botol,Liter,13460
13/12/2018,Minyak Goreng Bimoli Botol,Liter,13460
14/12/2018,Minyak Goreng Bimoli Botol,Liter,13060
17/12/2018,Minyak Goreng Bimoli Botol,Liter,13060
18/12/2018,Minyak Goreng Bimoli Botol,Liter,13340
19/12/2018,Minyak Goreng Bimoli Botol,Liter,13140
20/12/2018,Minyak Goreng Bimoli Botol,Liter,13140
21/12/2018,Minyak Goreng Bimoli Botol,Liter,13340
26/12/2018,Minyak Goreng Bimoli Botol,Liter,13240
27/12/2018,Minyak Goreng Bimoli Botol,Liter,13560
28/12/2018,Minyak Goreng Bimoli Botol,Liter,13560
31/12/2018,Minyak Goreng Bimoli Botol,Liter,13560
3/12/2018,Minyak Goreng Curah,Liter,12060
4/12/2018,Minyak Goreng Curah,Liter,11660
5/12/2018,Minyak Goreng Curah,Liter,11760
