TANGGAL,KOMODITI,SATUAN,HARGA,,,,,
2/1/2018,Beras,Kg,11340,,,,,
2/1/2018,Gula Pasir,Kg,13740,,,,,
2/1/2018,Minyak Goreng Bimoli Botol,Liter,14040,,,,,
2/1/2018,Minyak Goreng Curah,Liter,12388,,,,,
2/1/2018,Daging Sapi Lokal Paha Belakang,Kg,117660,,,,,
2/1/2018,Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,118333,,,,,
2/1/2018,Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,89167,,,,,
2/1/2018,Daging Sapi Lokal Daging Tetelan,Kg,70833,,,,,
2/1/2018,Daging Sapi Impor Beku,Kg,120000,,,,,
2/1/2018,Daging Sapi Lokal Has Dalam,Kg,143333,,,,,
2/1/2018,Ayam Boiler,ekor,39740,,,,,
2/1/2018,Ayam Kampung,ekor,55075,,,,,
2/1/2018,Telur Ayam Ras,Kg,26150,,,,,
2/1/2018,Telur Ayam Kampung,butir,2100,,,,,
2/1/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12340,,,,,
2/1/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10300,,,,,
2/1/2018,Susu Bubuk Kaleng Merk Bendera,buah,43667,,,,,
2/1/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42000,,,,,
2/1/2018,Jagung Pipilan Kecil,Kg,16833,,,,,
2/1/2018,Garam Beryodium Bata,250 gr,3220,,,,,
2/1/2018,Garam Beryodium Halus,Kg,11260,,,,,
2/1/2018,Tepung Terigu Segitiga Biru,Kg,10160,,,,,
2/1/2018,Kacang Kedelai Eks impor,Kg,12300,,,,,
2/1/2018,Kacang Kedelai Lokal,Kg,3333,,,,,
2/1/2018,Mie Instan Indomie Rasa Kari Ayam,buah,2740,,,,,
2/1/2018,Cabe Merah Keriting,Kg,37140,,,,,
2/1/2018,Cabe Merah Besar,Kg,37260,,,,,
2/1/2018,Cabe Rawit Merah,Kg,56240,,,,,
2/1/2018,Cabe Rawit Hijau,Kg,34800,,,,,
2/1/2018,Bawang Merah (Medium),Kg,26800,,,,,
2/1/2018,Bawang Putih Impor (Kating),Kg,28560,,,,,
2/1/2018,Bawang Putih Impor (Honan),Kg,25000,,,,,
2/1/2018,Ikan Teri Asin,Kg,109400,,,,,
2/1/2018,Ikan Kembung,Kg,36660,,,,,
2/1/2018,Kacang Hijau,Kg,22340,,,,,
2/1/2018,Kacang Tanah,Kg,25500,,,,,
2/1/2018,Ketela Pohon,Kg,5060,,,,,
3/1/2018,Beras,Kg,11440,,,,,
3/1/2018,Gula Pasir,Kg,13840,,,,,
3/1/2018,Minyak Goreng Bimoli Botol,Liter,14240,,,,,
3/1/2018,Minyak Goreng Curah,Liter,12450,,,,,
3/1/2018,Daging Sapi Lokal Paha Belakang,Kg,117660,,,,,
3/1/2018,Daging Sapi Lokal Daging Has Luar (Sirloin),Kg,117500,,,,,
3/1/2018,Daging Sapi Lokal Daging Sandung Lamur (Brisket),Kg,89167,,,,,
3/1/2018,Daging Sapi Lokal Daging Tetelan ,Kg,75000,,,,,
3/1/2018,Daging Sapi Impor Beku,Kg,120000,,,,,
3/1/2018,Daging Sapi Lokal Has Dalam,Kg,141667,,,,,
3/1/2018,Ayam Boiler,ekor,38940,,,,,
3/1/2018,Ayam Kampung,ekor,55075,,,,,
3/1/2018,Telur Ayam Ras,Kg,26200,,,,,
3/1/2018,Telur Ayam Kampung,butir,2150,,,,,
3/1/2018,Susu Kental Manis Kaleng Merk Bendera,buah,12240,,,,,
3/1/2018,Susu Kental Manis Kaleng Merk Indomilk,buah,10400,,,,,
3/1/2018,Susu Bubuk Kaleng Merk Bendera,buah,43667,,,,,
3/1/2018,Susu Bubuk Kaleng Merk Indomilk,buah,42000,,,,,
3/1/2018,Jagung Pipilan Kecil,Kg,16833,,,,,
3/1/2018,Garam Beryodium Bata,250 gr,3320,,,,,
3/1/2018,Garam Beryodium Halus,Kg,10660,,,,,
3/1/2018,Tepung Terigu Segitiga Biru,Kg,10360,,,,,
3/1/2018,Kacang Kedelai Eks impor,Kg,12300,,,,,
3/1/2018,Kacang Kedelai Lokal,Kg,3333,,,,,
3/1/2018,Mie Instan Indomie Rasa Kari Ayam,buah,2740,,,,,
3/1/2018,Cabe Merah Keriting,Kg,38640,,,,,
3/1/2018,Cabe Merah Besar,Kg,37260,,,,,
3/1/2018,Cabe Rawit Merah,Kg,58240,,,,,
3/1/2018,Cabe Rawit Hijau,Kg,35300,,,,,
3/1/2018,Bawang Merah (Medium),Kg,27800,,,,,
3/1/2018,Bawang Putih Impor (Kating),Kg,30260,,,,,
3/1/2018,Bawang Putih Impor (Honan),Kg,25000,,,,,
3/1/2018,Ikan Teri Asin,Kg,108400,,,,,
3/1/2018,Ikan Kembung,Kg,35660,,,,,
3/1/2018,Kacang Hijau,Kg,22540,,,,,
3/1/2018,Kacang Tanah,Kg,25700,,,,,
3/1/2018,Ketela Pohon,Kg,5060,,,,,
