tanggal,komoditi,satuan,harga
1/11/2018,Beras Medium,Kg,10860
2/11/2018,Beras Medium,Kg,10860
5/11/2018,Beras Medium,Kg,10760
6/11/2018,Beras Medium,Kg,10710
7/11/2018,Beras Medium,Kg,10760
8/11/2018,Beras Medium,Kg,10560
9/11/2018,Beras Medium,Kg,10760
12/11/2018,Beras Medium,Kg,10860
13/11/2018,Beras Medium,Kg,10540
14/11/2018,Beras Medium,Kg,10490
15/11/2018,Beras Medium,Kg,10690
16/11/2018,Beras Medium,Kg,10640
19/11/2018,Beras Medium,Kg,10640
21/11/2018,Beras Medium,Kg,10640
22/11/2018,Beras Medium,Kg,10590
23/11/2018,Beras Medium,Kg,10540
26/11/2018,Beras Medium,Kg,10590
27/11/2018,Beras Medium,Kg,10540
28/11/2018,Beras Medium,Kg,10690
29/11/2018,Beras Medium,Kg,10640
30/11/2018,Beras Medium,Kg,10590
1/11/2018,Beras Premium,Kg,12875
2/11/2018,Beras Premium,Kg,12875
5/11/2018,Beras Premium,Kg,13000
6/11/2018,Beras Premium,Kg,12875
7/11/2018,Beras Premium,Kg,13063
8/11/2018,Beras Premium,Kg,12750
9/11/2018,Beras Premium,Kg,13000
12/11/2018,Beras Premium,Kg,13000
13/11/2018,Beras Premium,Kg,12700
14/11/2018,Beras Premium,Kg,12575
15/11/2018,Beras Premium,Kg,12825
16/11/2018,Beras Premium,Kg,12825
19/11/2018,Beras Premium,Kg,12825
21/11/2018,Beras Premium,Kg,12825
22/11/2018,Beras Premium,Kg,12763
23/11/2018,Beras Premium,Kg,12388
26/11/2018,Beras Premium,Kg,12513
27/11/2018,Beras Premium,Kg,12575
28/11/2018,Beras Premium,Kg,12950
29/11/2018,Beras Premium,Kg,12825
30/11/2018,Beras Premium,Kg,12638
1/11/2018,Gula Pasir,Kg,12360
2/11/2018,Gula Pasir,Kg,12360
5/11/2018,Gula Pasir,Kg,12260
6/11/2018,Gula Pasir,Kg,12360
7/11/2018,Gula Pasir,Kg,12460
8/11/2018,Gula Pasir,Kg,12460
9/11/2018,Gula Pasir,Kg,12960
12/11/2018,Gula Pasir,Kg,13060
13/11/2018,Gula Pasir,Kg,12440
14/11/2018,Gula Pasir,Kg,12890
15/11/2018,Gula Pasir,Kg,12810
16/11/2018,Gula Pasir,Kg,12560
19/11/2018,Gula Pasir,Kg,12660
21/11/2018,Gula Pasir,Kg,12610
22/11/2018,Gula Pasir,Kg,12500
23/11/2018,Gula Pasir,Kg,12650
26/11/2018,Gula Pasir,Kg,12650
