tanggal ,komoditi,satuan,harga
10/1/2018,Beras Medium,Kg,10740
10/2/2018,Beras Medium,Kg,10740
10/3/2018,Beras Medium,Kg,10690
10/4/2018,Beras Medium,Kg,10640
10/5/2018,Beras Medium,Kg,10540
10/8/2018,Beras Medium,Kg,10540
10/9/2018,Beras Medium,Kg,10540
10/10/2018,Beras Medium,Kg,10740
10/11/2018,Beras Medium,Kg,10940
10/12/2018,Beras Medium,Kg,10740
10/15/2018,Beras Medium,Kg,10990
10/16/2018,Beras Medium,Kg,10440
10/17/2018,Beras Medium,Kg,10640
10/18/2018,Beras Medium,Kg,10640
10/19/2018,Beras Medium,Kg,10740
10/22/2018,Beras Medium,Kg,10740
10/23/2018,Beras Medium,Kg,10690
10/24/2018,Beras Medium,Kg,10740
10/25/2018,Beras Medium,Kg,10540
10/26/2018,Beras Medium,Kg,10440
10/29/2018,Beras Medium,Kg,10490
10/30/2018,Beras Medium,Kg,10860
10/31/2018,Beras Medium,Kg,10760
10/1/2018,Beras Premium,Kg,12450
10/2/2018,Beras Premium,Kg,12575
10/3/2018,Beras Premium,Kg,12450
10/4/2018,Beras Premium,Kg,12450
10/5/2018,Beras Premium,Kg,12825
10/8/2018,Beras Premium,Kg,12575
10/9/2018,Beras Premium,Kg,12888
10/10/2018,Beras Premium,Kg,12575
10/11/2018,Beras Premium,Kg,12575
10/12/2018,Beras Premium,Kg,12575
10/15/2018,Beras Premium,Kg,12575
10/16/2018,Beras Premium,Kg,12450
10/17/2018,Beras Premium,Kg,12575
10/18/2018,Beras Premium,Kg,10060
10/19/2018,Beras Premium,Kg,12575
10/22/2018,Beras Premium,Kg,12575
10/23/2018,Beras Premium,Kg,12450
10/24/2018,Beras Premium,Kg,12575
10/25/2018,Beras Premium,Kg,12575
10/26/2018,Beras Premium,Kg,12450
10/29/2018,Beras Premium,Kg,12513
10/30/2018,Beras Premium,Kg,13000
10/31/2018,Beras Premium,Kg,12750
10/1/2018,Gula Pasir,Kg,12460
10/2/2018,Gula Pasir,Kg,12710
10/3/2018,Gula Pasir,Kg,12610
10/4/2018,Gula Pasir,Kg,12660
10/5/2018,Gula Pasir,Kg,12960
10/8/2018,Gula Pasir,Kg,12810
10/9/2018,Gula Pasir,Kg,12860
10/10/2018,Gula Pasir,Kg,12860
10/11/2018,Gula Pasir,Kg,12610
10/12/2018,Gula Pasir,Kg,12760
10/15/2018,Gula Pasir,Kg,12460
10/16/2018,Gula Pasir,Kg,12810
10/17/2018,Gula Pasir,Kg,12510
10/18/2018,Gula Pasir,Kg,12260
10/19/2018,Gula Pasir,Kg,12660
10/22/2018,Gula Pasir,Kg,12810
10/23/2018,Gula Pasir,Kg,12810
10/24/2018,Gula Pasir,Kg,12860
10/25/2018,Gula Pasir,Kg,12860
10/26/2018,Gula Pasir,Kg,12760
10/29/2018,Gula Pasir,Kg,12510
10/30/2018,Gula Pasir,Kg,12460
10/31/2018,Gula Pasir,Kg,12660
10/1/2018,Minyak Goreng Bimoli Botol,Liter,13300
10/2/2018,Minyak Goreng Bimoli Botol,Liter,13400
10/3/2018,Minyak Goreng Bimoli Botol,Liter,13350
10/4/2018,Minyak Goreng Bimoli Botol,Liter,13300
10/5/2018,Minyak Goreng Bimoli Botol,Liter,13450
10/8/2018,Minyak Goreng Bimoli Botol,Liter,13100
10/9/2018,Minyak Goreng Bimoli Botol,Liter,13500
10/10/2018,Minyak Goreng Bimoli Botol,Liter,13000
10/11/2018,Minyak Goreng Bimoli Botol,Liter,13500
10/12/2018,Minyak Goreng Bimoli Botol,Liter,12900
10/15/2018,Minyak Goreng Bimoli Botol,Liter,13100
10/16/2018,Minyak Goreng Bimoli Botol,Liter,13200
10/17/2018,Minyak Goreng Bimoli Botol,Liter,13400
10/18/2018,Minyak Goreng Bimoli Botol,Liter,13200
10/19/2018,Minyak Goreng Bimoli Botol,Liter,13000
10/22/2018,Minyak Goreng Bimoli Botol,Liter,13100
10/23/2018,Minyak Goreng Bimoli Botol,Liter,12900
10/24/2018,Minyak Goreng Bimoli Botol,Liter,13100
10/25/2018,Minyak Goreng Bimoli Botol,Liter,13600
10/26/2018,Minyak Goreng Bimoli Botol,Liter,13500
10/29/2018,Minyak Goreng Bimoli Botol,Liter,13300
10/30/2018,Minyak Goreng Bimoli Botol,Liter,13300
10/31/2018,Minyak Goreng Bimoli Botol,Liter,13250
10/1/2018,Minyak Goreng Curah,Liter,12200
10/2/2018,Minyak Goreng Curah,Liter,12200
10/3/2018,Minyak Goreng Curah,Liter,12300
10/4/2018,Minyak Goreng Curah,Liter,12150
10/5/2018,Minyak Goreng Curah,Liter,12250
10/8/2018,Minyak Goreng Curah,Liter,12150
10/9/2018,Minyak Goreng Curah,Liter,12400
10/10/2018,Minyak Goreng Curah,Liter,11900
10/11/2018,Minyak Goreng Curah,Liter,12000
10/12/2018,Minyak Goreng Curah,Liter,11800
10/15/2018,Minyak Goreng Curah,Liter,11900
10/16/2018,Minyak Goreng Curah,Liter,11900
10/17/2018,Minyak Goreng Curah,Liter,11900
10/18/2018,Minyak Goreng Curah,Liter,11500
10/19/2018,Minyak Goreng Curah,Liter,11700
10/22/2018,Minyak Goreng Curah,Liter,11900
10/23/2018,Minyak Goreng Curah,Liter,11900
10/24/2018,Minyak Goreng Curah,Liter,11900
10/25/2018,Minyak Goreng Curah,Liter,12400
10/26/2018,Minyak Goreng Curah,Liter,12200
10/29/2018,Minyak Goreng Curah,Liter,11900
10/30/2018,Minyak Goreng Curah,Liter,12100
10/31/2018,Minyak Goreng Curah,Liter,12200
10/1/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,119500
10/2/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
10/3/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
10/4/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
10/5/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
10/8/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
10/9/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,121000
10/10/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
10/11/2018,"Daging Sapi, Lokal, Paha Belakang",Kg,120000
