tanggal,komoditi,satuan,harga
9/3/2018,Beras Medium,Kg,10840
9/4/2018,Beras Medium,Kg,10840
9/5/2018,Beras Medium,Kg,10540
9/6/2018,Beras Medium,Kg,10540
9/7/2018,Beras Medium,Kg,10640
9/10/2018,Beras Medium,Kg,10640
9/12/2018,Beras Medium,Kg,10640
9/13/2018,Beras Medium,Kg,10540
9/14/2018,Beras Medium,Kg,10640
9/17/2018,Beras Medium,Kg,10840
9/18/2018,Beras Medium,Kg,10640
9/19/2018,Beras Medium,Kg,10540
9/20/2018,Beras Medium,Kg,10840
9/21/2018,Beras Medium,Kg,10740
9/24/2018,Beras Medium,Kg,10840
9/25/2018,Beras Medium,Kg,10640
9/26/2018,Beras Medium,Kg,10790
9/27/2018,Beras Medium,Kg,10490
9/28/2018,Beras Medium,Kg,10640
9/3/2018,Beras Premium,Kg,12575
9/4/2018,Beras Premium,Kg,12575
9/5/2018,Beras Premium,Kg,12450
9/6/2018,Beras Premium,Kg,12388
9/7/2018,Beras Premium,Kg,12575
9/10/2018,Beras Premium,Kg,12825
9/12/2018,Beras Premium,Kg,12888
9/13/2018,Beras Premium,Kg,12513
9/14/2018,Beras Premium,Kg,12575
9/17/2018,Beras Premium,Kg,12575
9/18/2018,Beras Premium,Kg,12513
9/19/2018,Beras Premium,Kg,12450
9/20/2018,Beras Premium,Kg,12450
9/21/2018,Beras Premium,Kg,12200
9/24/2018,Beras Premium,Kg,12450
9/25/2018,Beras Premium,Kg,12700
9/26/2018,Beras Premium,Kg,12325
9/27/2018,Beras Premium,Kg,12700
9/28/2018,Beras Premium,Kg,12200
9/3/2018,Gula Pasir,Kg,12710
9/4/2018,Gula Pasir,Kg,12610
9/5/2018,Gula Pasir,Kg,12760
9/6/2018,Gula Pasir,Kg,12910
9/7/2018,Gula Pasir,Kg,12760
9/10/2018,Gula Pasir,Kg,12860
9/12/2018,Gula Pasir,Kg,12860
9/13/2018,Gula Pasir,Kg,12760
9/14/2018,Gula Pasir,Kg,12810
9/17/2018,Gula Pasir,Kg,12560
9/18/2018,Gula Pasir,Kg,12860
9/19/2018,Gula Pasir,Kg,13060
9/20/2018,Gula Pasir,Kg,12710
9/21/2018,Gula Pasir,Kg,12610
9/24/2018,Gula Pasir,Kg,12660
9/25/2018,Gula Pasir,Kg,12960
9/26/2018,Gula Pasir,Kg,12410
9/27/2018,Gula Pasir,Kg,12310
9/28/2018,Gula Pasir,Kg,12360
9/3/2018,Minyak Goreng Bimoli Botol,Liter,13200
9/4/2018,Minyak Goreng Bimoli Botol,Liter,13150
9/5/2018,Minyak Goreng Bimoli Botol,Liter,13100
9/6/2018,Minyak Goreng Bimoli Botol,Liter,13000
9/7/2018,Minyak Goreng Bimoli Botol,Liter,13100
9/10/2018,Minyak Goreng Bimoli Botol,Liter,13700
9/12/2018,Minyak Goreng Bimoli Botol,Liter,13800
9/13/2018,Minyak Goreng Bimoli Botol,Liter,13200
9/14/2018,Minyak Goreng Bimoli Botol,Liter,13100
9/17/2018,Minyak Goreng Bimoli Botol,Liter,13300
9/18/2018,Minyak Goreng Bimoli Botol,Liter,12900
9/19/2018,Minyak Goreng Bimoli Botol,Liter,13000
9/20/2018,Minyak Goreng Bimoli Botol,Liter,13200
9/21/2018,Minyak Goreng Bimoli Botol,Liter,13250
9/24/2018,Minyak Goreng Bimoli Botol,Liter,13300
9/25/2018,Minyak Goreng Bimoli Botol,Liter,13400
9/26/2018,Minyak Goreng Bimoli Botol,Liter,13200
9/27/2018,Minyak Goreng Bimoli Botol,Liter,13200
9/28/2018,Minyak Goreng Bimoli Botol,Liter,13200
9/3/2018,Minyak Goreng Curah,Liter,12400
9/4/2018,Minyak Goreng Curah,Liter,12300
9/5/2018,Minyak Goreng Curah,Liter,12200
